ID,Livestock_Type,Disease,Symptom_1,Cure_1,Symptom_2,Cure_2,Symptom_3,Cure_3,Symptom_4,Cure_4,Symptom_5,Cure_5,Symptom_6,Cure_6
278,Alpaca,Swine Fever,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
279,Yak,Bovine Tuberculosis,Breathing Issues,Isolation,Lesions,Nutritional Support,Fever,Deworming,Loss of Coordination,Antiseptic Wash,Swelling,Antibiotics,Nasal Discharge,Hydration Therapy
280,Duck,Johne’s Disease,Paralysis,Oxygen Therapy,Weight Loss,Anti-inflammatory Drugs,Skin Rash,Vitamin Supplements,Mouth Sores,Pain Relief,Reduced Milk Production,Quarantine,Lethargy,Herbal Remedies
281,Emu,Mastitis,Coughing,Isolation,Diarrhea,Nutritional Support,Loss of Appetite,Deworming,Skin Lesions,Antiseptic Wash,Weakness,Antibiotics,Eye Discharge,Hydration Therapy
282,Cattle,Botulism,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
283,Turkey,Brucellosis,Coughing,Dietary Management,Diarrhea,Steroids,Loss of Appetite,Vaccination,Skin Lesions,Antifungal Treatment,Weakness,Electrolyte Therapy,Eye Discharge,Immune Boosters
284,Ostrich,Swine Fever,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
285,Yak,Mastitis,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
286,Alpaca,Avian Influenza,High Fever,Oxygen Therapy,Bloody Stool,Anti-inflammatory Drugs,Nasal Discharge,Vitamin Supplements,Abdominal Pain,Pain Relief,Severe Weakness,Quarantine,Respiratory Issues,Herbal Remedies
287,Horse,Botulism,Breathing Issues,Isolation,Lesions,Nutritional Support,Fever,Deworming,Loss of Coordination,Antiseptic Wash,Swelling,Antibiotics,Nasal Discharge,Hydration Therapy
288,Quail,Avian Influenza,Paralysis,Dietary Management,Weight Loss,Steroids,Skin Rash,Vaccination,Mouth Sores,Antifungal Treatment,Reduced Milk Production,Electrolyte Therapy,Lethargy,Immune Boosters
289,Camel,Bovine Viral Diarrhea,Fever,Dietary Management,Blisters,Steroids,Lameness,Vaccination,Weight Loss,Antifungal Treatment,Nasal Discharge,Electrolyte Therapy,Swelling,Immune Boosters
290,Reindeer,Bovine Viral Diarrhea,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
291,Deer,Johne’s Disease,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
292,Deer,Bovine Viral Diarrhea,Paralysis,Vaccination,Weight Loss,Antiviral Drugs,Skin Rash,Rest,Mouth Sores,Fluid Therapy,Reduced Milk Production,Antibiotics,Lethargy,Pain Relievers
293,Quail,Rinderpest,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
294,Chicken,Rinderpest,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
295,Chicken,Bovine Viral Diarrhea,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
296,Bison,Glanders,High Fever,Isolation,Bloody Stool,Nutritional Support,Nasal Discharge,Deworming,Abdominal Pain,Antiseptic Wash,Severe Weakness,Antibiotics,Respiratory Issues,Hydration Therapy
297,Rabbit,Mastitis,Coughing,Dietary Management,Diarrhea,Steroids,Loss of Appetite,Vaccination,Skin Lesions,Antifungal Treatment,Weakness,Electrolyte Therapy,Eye Discharge,Immune Boosters
298,Rabbit,Foot-and-Mouth Disease,Breathing Issues,Vaccination,Lesions,Antiviral Drugs,Fever,Rest,Loss of Coordination,Fluid Therapy,Swelling,Antibiotics,Nasal Discharge,Pain Relievers
299,Camel,Brucellosis,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
300,Llama,Leptospirosis,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
301,Duck,Bovine Viral Diarrhea,High Fever,Antibiotic Treatment,Bloody Stool,Wound Care,Nasal Discharge,Hydration,Abdominal Pain,Anti-fever Medication,Severe Weakness,Deworming,Respiratory Issues,Supportive Care
302,Duck,Peste des Petits Ruminants,Breathing Issues,Isolation,Lesions,Nutritional Support,Fever,Deworming,Loss of Coordination,Antiseptic Wash,Swelling,Antibiotics,Nasal Discharge,Hydration Therapy
303,Camel,Bovine Viral Diarrhea,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
304,Quail,Rinderpest,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
305,Buffalo,Brucellosis,Paralysis,Vaccination,Weight Loss,Antiviral Drugs,Skin Rash,Rest,Mouth Sores,Fluid Therapy,Reduced Milk Production,Antibiotics,Lethargy,Pain Relievers
306,Quail,Foot-and-Mouth Disease,Coughing,Dietary Management,Diarrhea,Steroids,Loss of Appetite,Vaccination,Skin Lesions,Antifungal Treatment,Weakness,Electrolyte Therapy,Eye Discharge,Immune Boosters
307,Duck,Newcastle Disease,Paralysis,Dietary Management,Weight Loss,Steroids,Skin Rash,Vaccination,Mouth Sores,Antifungal Treatment,Reduced Milk Production,Electrolyte Therapy,Lethargy,Immune Boosters
308,Bison,Anthrax,High Fever,Oxygen Therapy,Bloody Stool,Anti-inflammatory Drugs,Nasal Discharge,Vitamin Supplements,Abdominal Pain,Pain Relief,Severe Weakness,Quarantine,Respiratory Issues,Herbal Remedies
309,Horse,Anthrax,Fever,Antibiotic Treatment,Blisters,Wound Care,Lameness,Hydration,Weight Loss,Anti-fever Medication,Nasal Discharge,Deworming,Swelling,Supportive Care
310,Mule,Peste des Petits Ruminants,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
311,Emu,Bovine Tuberculosis,Paralysis,Dietary Management,Weight Loss,Steroids,Skin Rash,Vaccination,Mouth Sores,Antifungal Treatment,Reduced Milk Production,Electrolyte Therapy,Lethargy,Immune Boosters
312,Goat,Mastitis,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
313,Mule,Leptospirosis,Coughing,Isolation,Diarrhea,Nutritional Support,Loss of Appetite,Deworming,Skin Lesions,Antiseptic Wash,Weakness,Antibiotics,Eye Discharge,Hydration Therapy
314,Mule,Anthrax,High Fever,Dietary Management,Bloody Stool,Steroids,Nasal Discharge,Vaccination,Abdominal Pain,Antifungal Treatment,Severe Weakness,Electrolyte Therapy,Respiratory Issues,Immune Boosters
315,Reindeer,Blue Tongue,Breathing Issues,Antibiotic Treatment,Lesions,Wound Care,Fever,Hydration,Loss of Coordination,Anti-fever Medication,Swelling,Deworming,Nasal Discharge,Supportive Care
316,Llama,Johne’s Disease,Paralysis,Oxygen Therapy,Weight Loss,Anti-inflammatory Drugs,Skin Rash,Vitamin Supplements,Mouth Sores,Pain Relief,Reduced Milk Production,Quarantine,Lethargy,Herbal Remedies
317,Sheep,Johne’s Disease,Coughing,Antibiotic Treatment,Diarrhea,Wound Care,Loss of Appetite,Hydration,Skin Lesions,Anti-fever Medication,Weakness,Deworming,Eye Discharge,Supportive Care
318,Horse,Botulism,High Fever,Antibiotic Treatment,Bloody Stool,Wound Care,Nasal Discharge,Hydration,Abdominal Pain,Anti-fever Medication,Severe Weakness,Deworming,Respiratory Issues,Supportive Care
319,Turkey,Bovine Viral Diarrhea,Breathing Issues,Vaccination,Lesions,Antiviral Drugs,Fever,Rest,Loss of Coordination,Fluid Therapy,Swelling,Antibiotics,Nasal Discharge,Pain Relievers
320,Turkey,Swine Fever,High Fever,Oxygen Therapy,Bloody Stool,Anti-inflammatory Drugs,Nasal Discharge,Vitamin Supplements,Abdominal Pain,Pain Relief,Severe Weakness,Quarantine,Respiratory Issues,Herbal Remedies
321,Quail,Anthrax,Breathing Issues,Oxygen Therapy,Lesions,Anti-inflammatory Drugs,Fever,Vitamin Supplements,Loss of Coordination,Pain Relief,Swelling,Quarantine,Nasal Discharge,Herbal Remedies
322,Camel,Blue Tongue,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
323,Mule,Anthrax,Paralysis,Antibiotic Treatment,Weight Loss,Wound Care,Skin Rash,Hydration,Mouth Sores,Anti-fever Medication,Reduced Milk Production,Deworming,Lethargy,Supportive Care
324,Camel,Anthrax,Breathing Issues,Isolation,Lesions,Nutritional Support,Fever,Deworming,Loss of Coordination,Antiseptic Wash,Swelling,Antibiotics,Nasal Discharge,Hydration Therapy
325,Emu,Peste des Petits Ruminants,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
326,Reindeer,Johne’s Disease,Fever,Antibiotic Treatment,Blisters,Wound Care,Lameness,Hydration,Weight Loss,Anti-fever Medication,Nasal Discharge,Deworming,Swelling,Supportive Care
327,Emu,Mastitis,Fever,Isolation,Blisters,Nutritional Support,Lameness,Deworming,Weight Loss,Antiseptic Wash,Nasal Discharge,Antibiotics,Swelling,Hydration Therapy
328,Emu,Bovine Viral Diarrhea,High Fever,Oxygen Therapy,Bloody Stool,Anti-inflammatory Drugs,Nasal Discharge,Vitamin Supplements,Abdominal Pain,Pain Relief,Severe Weakness,Quarantine,Respiratory Issues,Herbal Remedies
329,Donkey,Peste des Petits Ruminants,Breathing Issues,Antibiotic Treatment,Lesions,Wound Care,Fever,Hydration,Loss of Coordination,Anti-fever Medication,Swelling,Deworming,Nasal Discharge,Supportive Care
330,Duck,Blue Tongue,High Fever,Oxygen Therapy,Bloody Stool,Anti-inflammatory Drugs,Nasal Discharge,Vitamin Supplements,Abdominal Pain,Pain Relief,Severe Weakness,Quarantine,Respiratory Issues,Herbal Remedies
331,Chicken,Bovine Tuberculosis,Coughing,Oxygen Therapy,Diarrhea,Anti-inflammatory Drugs,Loss of Appetite,Vitamin Supplements,Skin Lesions,Pain Relief,Weakness,Quarantine,Eye Discharge,Herbal Remedies
332,Camel,Mastitis,Coughing,Oxygen Therapy,Diarrhea,Anti-inflammatory Drugs,Loss of Appetite,Vitamin Supplements,Skin Lesions,Pain Relief,Weakness,Quarantine,Eye Discharge,Herbal Remedies
333,Donkey,Glanders,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
334,Chicken,Bovine Viral Diarrhea,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
335,Camel,Avian Influenza,Breathing Issues,Antibiotic Treatment,Lesions,Wound Care,Fever,Hydration,Loss of Coordination,Anti-fever Medication,Swelling,Deworming,Nasal Discharge,Supportive Care
336,Donkey,Bovine Viral Diarrhea,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
337,Buffalo,Johne’s Disease,Coughing,Isolation,Diarrhea,Nutritional Support,Loss of Appetite,Deworming,Skin Lesions,Antiseptic Wash,Weakness,Antibiotics,Eye Discharge,Hydration Therapy
338,Reindeer,Botulism,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
339,Llama,Brucellosis,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
340,Donkey,Peste des Petits Ruminants,High Fever,Antibiotic Treatment,Bloody Stool,Wound Care,Nasal Discharge,Hydration,Abdominal Pain,Anti-fever Medication,Severe Weakness,Deworming,Respiratory Issues,Supportive Care
341,Llama,Leptospirosis,Breathing Issues,Antibiotic Treatment,Lesions,Wound Care,Fever,Hydration,Loss of Coordination,Anti-fever Medication,Swelling,Deworming,Nasal Discharge,Supportive Care
342,Reindeer,Glanders,Coughing,Isolation,Diarrhea,Nutritional Support,Loss of Appetite,Deworming,Skin Lesions,Antiseptic Wash,Weakness,Antibiotics,Eye Discharge,Hydration Therapy
343,Horse,Rinderpest,Breathing Issues,Oxygen Therapy,Lesions,Anti-inflammatory Drugs,Fever,Vitamin Supplements,Loss of Coordination,Pain Relief,Swelling,Quarantine,Nasal Discharge,Herbal Remedies
344,Alpaca,Leptospirosis,Paralysis,Dietary Management,Weight Loss,Steroids,Skin Rash,Vaccination,Mouth Sores,Antifungal Treatment,Reduced Milk Production,Electrolyte Therapy,Lethargy,Immune Boosters
345,Quail,Botulism,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
346,Emu,Peste des Petits Ruminants,Paralysis,Vaccination,Weight Loss,Antiviral Drugs,Skin Rash,Rest,Mouth Sores,Fluid Therapy,Reduced Milk Production,Antibiotics,Lethargy,Pain Relievers
347,Rabbit,Peste des Petits Ruminants,High Fever,Isolation,Bloody Stool,Nutritional Support,Nasal Discharge,Deworming,Abdominal Pain,Antiseptic Wash,Severe Weakness,Antibiotics,Respiratory Issues,Hydration Therapy
348,Reindeer,Brucellosis,Paralysis,Antibiotic Treatment,Weight Loss,Wound Care,Skin Rash,Hydration,Mouth Sores,Anti-fever Medication,Reduced Milk Production,Deworming,Lethargy,Supportive Care
349,Cattle,Newcastle Disease,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
350,Camel,Swine Fever,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
351,Reindeer,Anthrax,Breathing Issues,Isolation,Lesions,Nutritional Support,Fever,Deworming,Loss of Coordination,Antiseptic Wash,Swelling,Antibiotics,Nasal Discharge,Hydration Therapy
352,Sheep,Anthrax,Fever,Isolation,Blisters,Nutritional Support,Lameness,Deworming,Weight Loss,Antiseptic Wash,Nasal Discharge,Antibiotics,Swelling,Hydration Therapy
353,Horse,Avian Influenza,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
354,Bison,Johne’s Disease,Coughing,Oxygen Therapy,Diarrhea,Anti-inflammatory Drugs,Loss of Appetite,Vitamin Supplements,Skin Lesions,Pain Relief,Weakness,Quarantine,Eye Discharge,Herbal Remedies
355,Guinea Fowl,Bovine Viral Diarrhea,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
356,Ostrich,Leptospirosis,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
357,Duck,Avian Influenza,Breathing Issues,Isolation,Lesions,Nutritional Support,Fever,Deworming,Loss of Coordination,Antiseptic Wash,Swelling,Antibiotics,Nasal Discharge,Hydration Therapy
358,Emu,Glanders,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
359,Duck,Avian Influenza,High Fever,Oxygen Therapy,Bloody Stool,Anti-inflammatory Drugs,Nasal Discharge,Vitamin Supplements,Abdominal Pain,Pain Relief,Severe Weakness,Quarantine,Respiratory Issues,Herbal Remedies
360,Yak,Mastitis,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
361,Yak,Mastitis,Paralysis,Dietary Management,Weight Loss,Steroids,Skin Rash,Vaccination,Mouth Sores,Antifungal Treatment,Reduced Milk Production,Electrolyte Therapy,Lethargy,Immune Boosters
362,Guinea Fowl,Peste des Petits Ruminants,Coughing,Isolation,Diarrhea,Nutritional Support,Loss of Appetite,Deworming,Skin Lesions,Antiseptic Wash,Weakness,Antibiotics,Eye Discharge,Hydration Therapy
363,Horse,Avian Influenza,High Fever,Oxygen Therapy,Bloody Stool,Anti-inflammatory Drugs,Nasal Discharge,Vitamin Supplements,Abdominal Pain,Pain Relief,Severe Weakness,Quarantine,Respiratory Issues,Herbal Remedies
364,Guinea Fowl,Foot-and-Mouth Disease,Fever,Antibiotic Treatment,Blisters,Wound Care,Lameness,Hydration,Weight Loss,Anti-fever Medication,Nasal Discharge,Deworming,Swelling,Supportive Care
365,Donkey,Anthrax,Fever,Antibiotic Treatment,Blisters,Wound Care,Lameness,Hydration,Weight Loss,Anti-fever Medication,Nasal Discharge,Deworming,Swelling,Supportive Care
366,Pig,Johne’s Disease,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
367,Guinea Fowl,Anthrax,Coughing,Antibiotic Treatment,Diarrhea,Wound Care,Loss of Appetite,Hydration,Skin Lesions,Anti-fever Medication,Weakness,Deworming,Eye Discharge,Supportive Care
368,Quail,Johne’s Disease,Breathing Issues,Oxygen Therapy,Lesions,Anti-inflammatory Drugs,Fever,Vitamin Supplements,Loss of Coordination,Pain Relief,Swelling,Quarantine,Nasal Discharge,Herbal Remedies
369,Duck,Bovine Tuberculosis,Breathing Issues,Oxygen Therapy,Lesions,Anti-inflammatory Drugs,Fever,Vitamin Supplements,Loss of Coordination,Pain Relief,Swelling,Quarantine,Nasal Discharge,Herbal Remedies
370,Quail,Bovine Tuberculosis,High Fever,Antibiotic Treatment,Bloody Stool,Wound Care,Nasal Discharge,Hydration,Abdominal Pain,Anti-fever Medication,Severe Weakness,Deworming,Respiratory Issues,Supportive Care
371,Rabbit,Rinderpest,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
372,Cattle,Foot-and-Mouth Disease,Coughing,Antibiotic Treatment,Diarrhea,Wound Care,Loss of Appetite,Hydration,Skin Lesions,Anti-fever Medication,Weakness,Deworming,Eye Discharge,Supportive Care
373,Reindeer,Anthrax,Breathing Issues,Vaccination,Lesions,Antiviral Drugs,Fever,Rest,Loss of Coordination,Fluid Therapy,Swelling,Antibiotics,Nasal Discharge,Pain Relievers
374,Quail,Foot-and-Mouth Disease,Paralysis,Vaccination,Weight Loss,Antiviral Drugs,Skin Rash,Rest,Mouth Sores,Fluid Therapy,Reduced Milk Production,Antibiotics,Lethargy,Pain Relievers
375,Pig,Blue Tongue,High Fever,Dietary Management,Bloody Stool,Steroids,Nasal Discharge,Vaccination,Abdominal Pain,Antifungal Treatment,Severe Weakness,Electrolyte Therapy,Respiratory Issues,Immune Boosters
376,Yak,Newcastle Disease,High Fever,Dietary Management,Bloody Stool,Steroids,Nasal Discharge,Vaccination,Abdominal Pain,Antifungal Treatment,Severe Weakness,Electrolyte Therapy,Respiratory Issues,Immune Boosters
377,Chicken,Botulism,Breathing Issues,Antibiotic Treatment,Lesions,Wound Care,Fever,Hydration,Loss of Coordination,Anti-fever Medication,Swelling,Deworming,Nasal Discharge,Supportive Care
378,Ostrich,Brucellosis,High Fever,Antibiotic Treatment,Bloody Stool,Wound Care,Nasal Discharge,Hydration,Abdominal Pain,Anti-fever Medication,Severe Weakness,Deworming,Respiratory Issues,Supportive Care
379,Buffalo,Botulism,High Fever,Dietary Management,Bloody Stool,Steroids,Nasal Discharge,Vaccination,Abdominal Pain,Antifungal Treatment,Severe Weakness,Electrolyte Therapy,Respiratory Issues,Immune Boosters
380,Mule,Johne’s Disease,Breathing Issues,Isolation,Lesions,Nutritional Support,Fever,Deworming,Loss of Coordination,Antiseptic Wash,Swelling,Antibiotics,Nasal Discharge,Hydration Therapy
381,Emu,Glanders,Paralysis,Vaccination,Weight Loss,Antiviral Drugs,Skin Rash,Rest,Mouth Sores,Fluid Therapy,Reduced Milk Production,Antibiotics,Lethargy,Pain Relievers
382,Horse,Johne’s Disease,Paralysis,Oxygen Therapy,Weight Loss,Anti-inflammatory Drugs,Skin Rash,Vitamin Supplements,Mouth Sores,Pain Relief,Reduced Milk Production,Quarantine,Lethargy,Herbal Remedies
383,Ostrich,Mastitis,Breathing Issues,Isolation,Lesions,Nutritional Support,Fever,Deworming,Loss of Coordination,Antiseptic Wash,Swelling,Antibiotics,Nasal Discharge,Hydration Therapy
384,Mule,Rinderpest,Fever,Antibiotic Treatment,Blisters,Wound Care,Lameness,Hydration,Weight Loss,Anti-fever Medication,Nasal Discharge,Deworming,Swelling,Supportive Care
385,Turkey,Anthrax,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
386,Bison,Anthrax,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
387,Turkey,Botulism,Breathing Issues,Vaccination,Lesions,Antiviral Drugs,Fever,Rest,Loss of Coordination,Fluid Therapy,Swelling,Antibiotics,Nasal Discharge,Pain Relievers
388,Pig,Johne’s Disease,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
389,Emu,Swine Fever,High Fever,Dietary Management,Bloody Stool,Steroids,Nasal Discharge,Vaccination,Abdominal Pain,Antifungal Treatment,Severe Weakness,Electrolyte Therapy,Respiratory Issues,Immune Boosters
390,Sheep,Mastitis,Coughing,Antibiotic Treatment,Diarrhea,Wound Care,Loss of Appetite,Hydration,Skin Lesions,Anti-fever Medication,Weakness,Deworming,Eye Discharge,Supportive Care
391,Horse,Glanders,High Fever,Oxygen Therapy,Bloody Stool,Anti-inflammatory Drugs,Nasal Discharge,Vitamin Supplements,Abdominal Pain,Pain Relief,Severe Weakness,Quarantine,Respiratory Issues,Herbal Remedies
392,Camel,Anthrax,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
393,Turkey,Leptospirosis,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
394,Ostrich,Glanders,Fever,Antibiotic Treatment,Blisters,Wound Care,Lameness,Hydration,Weight Loss,Anti-fever Medication,Nasal Discharge,Deworming,Swelling,Supportive Care
395,Rabbit,Johne’s Disease,High Fever,Antibiotic Treatment,Bloody Stool,Wound Care,Nasal Discharge,Hydration,Abdominal Pain,Anti-fever Medication,Severe Weakness,Deworming,Respiratory Issues,Supportive Care
396,Alpaca,Peste des Petits Ruminants,Coughing,Dietary Management,Diarrhea,Steroids,Loss of Appetite,Vaccination,Skin Lesions,Antifungal Treatment,Weakness,Electrolyte Therapy,Eye Discharge,Immune Boosters
397,Yak,Brucellosis,Breathing Issues,Antibiotic Treatment,Lesions,Wound Care,Fever,Hydration,Loss of Coordination,Anti-fever Medication,Swelling,Deworming,Nasal Discharge,Supportive Care
398,Guinea Fowl,Johne’s Disease,Breathing Issues,Oxygen Therapy,Lesions,Anti-inflammatory Drugs,Fever,Vitamin Supplements,Loss of Coordination,Pain Relief,Swelling,Quarantine,Nasal Discharge,Herbal Remedies
399,Yak,Mastitis,Fever,Dietary Management,Blisters,Steroids,Lameness,Vaccination,Weight Loss,Antifungal Treatment,Nasal Discharge,Electrolyte Therapy,Swelling,Immune Boosters
400,Reindeer,Peste des Petits Ruminants,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
401,Pig,Brucellosis,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
402,Pig,Avian Influenza,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
403,Deer,Newcastle Disease,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
404,Quail,Scrapie,Coughing,Dietary Management,Diarrhea,Steroids,Loss of Appetite,Vaccination,Skin Lesions,Antifungal Treatment,Weakness,Electrolyte Therapy,Eye Discharge,Immune Boosters
405,Sheep,Bovine Viral Diarrhea,Paralysis,Vaccination,Weight Loss,Antiviral Drugs,Skin Rash,Rest,Mouth Sores,Fluid Therapy,Reduced Milk Production,Antibiotics,Lethargy,Pain Relievers
406,Alpaca,Leptospirosis,Fever,Isolation,Blisters,Nutritional Support,Lameness,Deworming,Weight Loss,Antiseptic Wash,Nasal Discharge,Antibiotics,Swelling,Hydration Therapy
407,Chicken,Foot-and-Mouth Disease,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
408,Duck,Bovine Viral Diarrhea,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
409,Rabbit,Rinderpest,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
410,Quail,Leptospirosis,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
